material_id	description	plant	stock_quantity	unit_of_measure	price_per_unit
MAT27008859	COPPER Material	PLANT-C	568	KG	588.32
MAT52081736	RAW-STEEL Material	PLANT-A	446	KG	783.37
MAT19364357	PLASTIC Material	PLANT-B	233	KG	478.06
MAT85581990	PLASTIC Material	PLANT-A	460	KG	970.6
MAT07404434	ALUMINUM Material	PLANT-C	756	KG	602.92
MAT21850611	COPPER Material	PLANT-C	811	KG	263.2
MAT09798739	ALUMINUM Material	PLANT-A	343	KG	486.73
MAT57071648	ALUMINUM Material	PLANT-A	320	KG	240.09
MAT87792612	RAW-STEEL Material	PLANT-B	770	KG	907.98
MAT95000912	COPPER Material	PLANT-B	958	KG	109.9
MAT46892483	COPPER Material	PLANT-C	219	KG	244.58
MAT94889267	RAW-STEEL Material	PLANT-C	660	KG	548.1
MAT06612576	ALUMINUM Material	PLANT-B	364	KG	818.64
MAT92504807	COPPER Material	PLANT-A	782	KG	759.49
MAT12379974	WOOD Material	PLANT-C	194	KG	552.96
MAT08313023	ALUMINUM Material	PLANT-A	197	KG	654.83
MAT88809091	PLASTIC Material	PLANT-B	636	KG	681.25
MAT62500764	COPPER Material	PLANT-C	71	KG	215.61
MAT62359076	WOOD Material	PLANT-C	249	KG	133.6
MAT55299468	WOOD Material	PLANT-A	401	KG	58.54
MAT61793245	RAW-STEEL Material	PLANT-C	747	KG	184.89
MAT02183664	WOOD Material	PLANT-A	6	KG	286.03
MAT52169140	PLASTIC Material	PLANT-B	285	KG	623.18
MAT80896171	COPPER Material	PLANT-A	833	KG	811.27
MAT03211811	PLASTIC Material	PLANT-A	950	KG	973.1
MAT73438976	COPPER Material	PLANT-C	375	KG	88.35
MAT97281800	ALUMINUM Material	PLANT-B	31	KG	305.45
MAT09197207	RAW-STEEL Material	PLANT-A	82	KG	12.58
MAT17235494	RAW-STEEL Material	PLANT-A	633	KG	235.88
MAT10105790	ALUMINUM Material	PLANT-B	390	KG	79.65
MAT48960121	RAW-STEEL Material	PLANT-A	941	KG	759.91
MAT35086987	WOOD Material	PLANT-A	704	KG	310.33
MAT56829662	ALUMINUM Material	PLANT-C	541	KG	423.3
MAT63841770	PLASTIC Material	PLANT-A	80	KG	664.86
MAT20322351	WOOD Material	PLANT-B	753	KG	284.97
MAT85938145	WOOD Material	PLANT-A	600	KG	684.03
MAT42231999	ALUMINUM Material	PLANT-A	962	KG	17.97
MAT89974712	ALUMINUM Material	PLANT-A	318	KG	875.6
MAT93636302	COPPER Material	PLANT-A	358	KG	735.3
MAT79632408	RAW-STEEL Material	PLANT-B	725	KG	984.77
MAT02141558	WOOD Material	PLANT-C	142	KG	505.27
MAT87513618	ALUMINUM Material	PLANT-C	603	KG	864.75
MAT46141044	RAW-STEEL Material	PLANT-C	433	KG	50.1
MAT65492486	COPPER Material	PLANT-B	374	KG	883.92
MAT06941356	WOOD Material	PLANT-A	973	KG	102.38
MAT01180525	WOOD Material	PLANT-B	497	KG	657.18
MAT98245315	PLASTIC Material	PLANT-B	883	KG	504.18
MAT96638368	RAW-STEEL Material	PLANT-C	561	KG	280.87
MAT68896471	ALUMINUM Material	PLANT-C	715	KG	347.19
MAT83136770	PLASTIC Material	PLANT-C	992	KG	960.69
MAT30029270	RAW-STEEL Material	PLANT-B	138	KG	767.39
MAT96548099	PLASTIC Material	PLANT-C	490	KG	836.94
MAT69289369	ALUMINUM Material	PLANT-A	885	KG	893.38
MAT13009133	PLASTIC Material	PLANT-A	566	KG	185.59
MAT83450187	PLASTIC Material	PLANT-C	340	KG	662.87
MAT05752641	RAW-STEEL Material	PLANT-B	484	KG	19.91
MAT44589693	COPPER Material	PLANT-A	359	KG	235.83
MAT87184062	ALUMINUM Material	PLANT-B	547	KG	799.44
MAT43613405	ALUMINUM Material	PLANT-B	877	KG	134.53
MAT02725389	RAW-STEEL Material	PLANT-B	75	KG	859.99
MAT95797335	PLASTIC Material	PLANT-C	443	KG	12.89
