record_id,customer_id,amount,currency,transaction_date,payment_status
FIN83933976,CUST00056,5997.74,INR,2026-04-13,OPEN
FIN56698172,CUST00011,4561.11,USD,2025-11-01,OPEN
FIN57793975,CUST00082,4008.33,EUR,2025-11-03,CANCELLED
FIN77729047,CUST00039,4354.22,EUR,2026-03-18,PENDING
FIN71873528,CUST00098,6926.5,INR,2026-03-07,PENDING
FIN16091770,CUST00045,7451.86,USD,2025-11-07,OPEN
FIN13956874,CUST00018,6650.58,USD,2025-10-16,PENDING
FIN57360895,CUST00030,7413.09,AUD,2026-02-21,PENDING
FIN99973748,CUST00012,7426.74,INR,2025-07-25,DELIVERED
FIN58440648,CUST00088,4813.14,AUD,2025-08-29,PENDING
FIN59471634,CUST00013,4056.6,EUR,2026-02-20,OPEN
FIN09279506,CUST00047,1740.18,INR,2026-03-30,CANCELLED
FIN06726506,CUST00062,6297.09,USD,2025-08-18,PENDING
FIN37681793,CUST00035,3432.14,AUD,2025-08-23,PENDING
FIN49936873,CUST00037,1834.81,EUR,2025-05-25,PENDING
FIN98834691,CUST00016,6017.75,GBP,2025-07-01,DELIVERED
FIN80784119,CUST00025,5141.04,INR,2025-12-06,CANCELLED
FIN39861396,CUST00004,5020.5,AUD,2025-08-16,CANCELLED
FIN40517539,CUST00098,8689.97,AUD,2025-09-15,DELIVERED
FIN94830162,CUST00091,2426.41,GBP,2026-03-27,DELIVERED
FIN79119764,CUST00024,6367.49,AUD,2025-12-11,PENDING
FIN84336379,CUST00073,3131.68,EUR,2025-11-13,CANCELLED
FIN40356496,CUST00035,7282.2,AUD,2025-12-15,PENDING
FIN21317919,CUST00061,1086.88,INR,2026-02-05,DELIVERED
FIN95755394,CUST00050,6441.81,GBP,2026-03-04,DELIVERED
FIN20819518,CUST00040,4491.0,AUD,2026-04-30,CANCELLED
FIN91599566,CUST00087,2308.9,USD,2026-02-10,OPEN
FIN65702651,CUST00024,3032.98,USD,2026-03-16,PENDING
FIN93554414,CUST00091,3923.75,AUD,2025-12-31,PENDING
FIN70301166,CUST00093,4162.26,INR,2025-12-23,PENDING
FIN81229660,CUST00034,1898.58,EUR,2025-08-15,OPEN
FIN01626119,CUST00007,9920.21,INR,2025-09-27,PENDING
FIN09180091,CUST00081,7662.34,EUR,2025-07-04,CANCELLED
FIN92092357,CUST00076,1197.18,USD,2026-03-27,PENDING
FIN08402902,CUST00097,3980.33,GBP,2026-03-19,OPEN
FIN38648228,CUST00055,4485.88,AUD,2026-03-23,CANCELLED
FIN11455205,CUST00046,7486.09,GBP,2026-04-09,OPEN
FIN75820585,CUST00044,7029.39,AUD,2025-11-18,OPEN
FIN47115065,CUST00030,2585.37,USD,2025-12-25,PENDING
FIN44005850,CUST00088,8500.54,AUD,2025-11-07,PENDING
FIN49235890,CUST00073,9983.35,INR,2026-01-09,OPEN
FIN34909273,CUST00080,4372.28,EUR,2025-11-07,OPEN
FIN47482467,CUST00098,4112.58,INR,2025-11-16,PENDING
FIN98420237,CUST00015,5436.68,INR,2025-09-20,PENDING
FIN97810026,CUST00017,3703.96,GBP,2026-05-21,CANCELLED
FIN99459891,CUST00040,932.05,INR,2026-03-07,OPEN
FIN52192237,CUST00044,8339.82,USD,2025-08-14,DELIVERED
FIN09285616,CUST00045,995.2,AUD,2026-03-07,PENDING
FIN80084927,CUST00062,2534.09,EUR,2026-02-13,PENDING
FIN44107157,CUST00029,895.86,EUR,2026-03-15,OPEN
FIN09338743,CUST00057,3656.35,EUR,2025-08-18,DELIVERED
FIN25444461,CUST00009,5671.98,AUD,2025-09-28,CANCELLED
FIN05155671,CUST00038,5949.5,AUD,2026-05-02,DELIVERED
FIN43487852,CUST00063,2385.19,GBP,2026-02-11,PENDING
FIN36710594,CUST00097,6392.09,EUR,2025-07-22,PENDING
FIN97914905,CUST00051,5045.55,USD,2025-11-16,DELIVERED
FIN81892375,CUST00025,3680.67,AUD,2025-06-05,PENDING
FIN17673758,CUST00007,9938.9,INR,2025-10-23,CANCELLED
FIN34228039,CUST00056,5539.71,INR,2026-04-25,OPEN
FIN93918005,CUST00086,7053.44,INR,2026-02-21,DELIVERED
FIN49034307,CUST00022,2185.0,INR,2025-11-11,PENDING
FIN27903291,CUST00053,7979.21,GBP,2026-05-03,OPEN
FIN61165005,CUST00033,9390.82,USD,2025-12-12,CANCELLED
FIN78822490,CUST00100,3979.41,USD,2025-07-10,OPEN
FIN72115565,CUST00035,7643.37,AUD,2026-01-17,DELIVERED
FIN85487332,CUST00069,4056.5,AUD,2025-06-26,OPEN
FIN92573271,CUST00055,4260.13,EUR,2025-09-01,DELIVERED
FIN08212430,CUST00069,3459.34,GBP,2026-04-29,CANCELLED
FIN89239476,CUST00030,3804.38,AUD,2025-11-29,OPEN
FIN95529047,CUST00079,9745.33,AUD,2026-03-03,CANCELLED
FIN33136429,CUST00096,533.22,AUD,2026-02-01,OPEN
FIN91798581,CUST00073,4367.78,INR,2026-04-27,CANCELLED
FIN11580750,CUST00098,6760.85,INR,2026-03-15,PENDING
FIN80296940,CUST00060,8481.71,USD,2026-03-20,OPEN
FIN81631135,CUST00079,5412.91,INR,2025-11-30,CANCELLED
FIN10949272,CUST00007,984.37,USD,2025-10-11,OPEN
FIN36019173,CUST00010,7477.61,GBP,2025-08-29,DELIVERED
FIN40606161,CUST00035,3924.31,INR,2025-09-04,PENDING
FIN25491789,CUST00014,9115.55,GBP,2026-02-09,DELIVERED
FIN33127153,CUST00042,922.87,USD,2026-02-11,OPEN
FIN04401486,CUST00028,4278.86,INR,2026-01-25,CANCELLED
FIN47409186,CUST00078,2646.82,USD,2025-11-15,DELIVERED
FIN48852603,CUST00094,1539.56,USD,2025-11-04,PENDING
FIN13583193,CUST00056,5788.85,AUD,2025-08-21,DELIVERED
FIN54850409,CUST00069,8623.22,AUD,2025-06-26,OPEN
FIN54870936,CUST00024,2253.97,USD,2026-01-08,OPEN
FIN74226907,CUST00064,1573.75,GBP,2025-08-31,DELIVERED
FIN50658090,CUST00064,3619.75,EUR,2026-02-18,CANCELLED
FIN76165047,CUST00066,8389.26,AUD,2025-11-11,PENDING
FIN38785582,CUST00067,1708.44,USD,2026-01-22,OPEN
FIN76854880,CUST00096,2681.93,USD,2025-06-01,CANCELLED
FIN22798474,CUST00040,6320.53,USD,2026-01-31,DELIVERED
FIN21267143,CUST00090,5619.18,AUD,2026-01-12,OPEN
FIN87799040,CUST00084,9823.54,USD,2025-11-27,PENDING
FIN17908690,CUST00016,5841.85,EUR,2025-07-06,OPEN
FIN13968455,CUST00029,137.48,AUD,2026-04-16,PENDING
FIN88278010,CUST00012,1544.82,GBP,2026-05-21,PENDING
FIN52190118,CUST00098,9979.47,EUR,2025-11-24,DELIVERED
FIN04110517,CUST00054,784.92,AUD,2026-03-18,DELIVERED
FIN64650877,CUST00096,4580.58,GBP,2025-06-22,PENDING
FIN51991458,CUST00032,4081.25,GBP,2025-09-27,PENDING
FIN09313539,CUST00054,1639.08,EUR,2026-03-09,DELIVERED
FIN80519350,CUST00016,4732.49,GBP,2025-11-07,CANCELLED
FIN00242156,CUST00005,7731.67,AUD,2025-06-11,CANCELLED
FIN16157529,CUST00049,8354.27,GBP,2026-01-20,CANCELLED
FIN03787666,CUST00042,9244.21,GBP,2025-08-30,OPEN
FIN96915560,CUST00030,9466.43,AUD,2025-08-04,OPEN
FIN56331994,CUST00027,2846.63,GBP,2025-11-11,DELIVERED
FIN30742246,CUST00077,703.91,GBP,2025-12-31,OPEN
FIN54821819,CUST00008,2915.85,USD,2026-01-09,OPEN
FIN56299577,CUST00009,8710.01,GBP,2025-10-05,CANCELLED
FIN35244344,CUST00040,7279.05,USD,2026-03-09,DELIVERED
FIN10133531,CUST00067,2817.9,AUD,2026-05-25,CANCELLED
FIN34922500,CUST00010,9096.62,INR,2025-07-12,CANCELLED
FIN02694309,CUST00097,4048.4,GBP,2025-06-22,OPEN
FIN25700671,CUST00082,1721.39,USD,2026-03-12,DELIVERED
FIN81265956,CUST00070,3769.61,INR,2025-07-25,CANCELLED
FIN34281706,CUST00036,4520.94,INR,2025-12-01,DELIVERED
FIN49617909,CUST00052,5112.82,USD,2025-11-29,DELIVERED
FIN36751083,CUST00060,9927.66,INR,2025-06-06,PENDING
FIN24736465,CUST00025,1875.92,EUR,2026-01-25,DELIVERED
FIN08171624,CUST00016,578.95,EUR,2026-01-21,CANCELLED
FIN67432301,CUST00032,4336.22,USD,2025-12-06,DELIVERED
FIN60979020,CUST00011,6027.65,USD,2025-12-10,PENDING
FIN98274059,CUST00019,292.78,EUR,2026-05-05,OPEN
FIN95828063,CUST00081,9108.84,AUD,2026-01-14,OPEN
FIN29131631,CUST00061,9999.28,EUR,2025-06-05,DELIVERED
FIN57758367,CUST00088,7615.46,INR,2025-10-27,CANCELLED
FIN28278186,CUST00038,7261.12,EUR,2026-05-14,DELIVERED
FIN52542058,CUST00058,7062.32,INR,2025-06-09,PENDING
FIN58127035,CUST00031,3145.5,USD,2026-04-23,CANCELLED
FIN54680924,CUST00086,4955.47,GBP,2026-01-31,CANCELLED
FIN27197622,CUST00095,1200.06,EUR,2025-08-23,OPEN
FIN23210828,CUST00039,459.99,AUD,2026-02-05,CANCELLED
FIN87626831,CUST00017,3436.9,GBP,2025-07-01,OPEN
FIN89093051,CUST00046,2241.66,GBP,2026-01-17,CANCELLED
FIN14047718,CUST00090,8697.92,GBP,2025-05-26,OPEN
FIN28843739,CUST00050,5078.35,INR,2025-08-18,OPEN
FIN97068284,CUST00034,3386.18,AUD,2026-02-19,OPEN
FIN44409353,CUST00052,2230.83,GBP,2026-04-13,OPEN
FIN09400288,CUST00024,2237.47,USD,2026-03-03,CANCELLED
FIN66724249,CUST00100,8735.23,EUR,2025-09-06,CANCELLED
FIN64649605,CUST00015,528.16,USD,2026-03-12,PENDING
FIN45633654,CUST00002,4802.51,AUD,2025-12-31,OPEN
FIN56715860,CUST00042,2706.16,AUD,2025-08-28,DELIVERED
FIN86159383,CUST00060,4802.56,EUR,2026-02-22,DELIVERED
FIN06310541,CUST00028,4433.96,EUR,2025-05-29,CANCELLED
FIN63756401,CUST00055,5597.74,INR,2026-03-06,DELIVERED
FIN49600193,CUST00099,7823.62,GBP,2026-04-03,DELIVERED
FIN42715047,CUST00085,8113.37,GBP,2025-07-25,OPEN
FIN81100223,CUST00021,4730.22,EUR,2026-03-15,PENDING
FIN33880877,CUST00076,3108.13,AUD,2025-10-16,OPEN
FIN37012162,CUST00056,6463.6,INR,2025-12-14,PENDING
FIN80324841,CUST00062,3697.67,GBP,2026-05-06,OPEN
FIN88335129,CUST00096,9821.8,GBP,2025-09-16,OPEN
FIN07480012,CUST00039,9865.43,INR,2025-11-28,OPEN
FIN95219014,CUST00046,8203.19,GBP,2025-10-25,CANCELLED
FIN40462690,CUST00047,6533.31,USD,2025-09-29,DELIVERED
FIN96969967,CUST00040,5445.64,AUD,2025-10-24,OPEN
FIN39598607,CUST00038,7456.2,AUD,2025-05-31,PENDING
FIN60204245,CUST00051,3231.62,INR,2026-05-02,CANCELLED
FIN03292144,CUST00028,2836.97,AUD,2025-05-30,CANCELLED
FIN05344588,CUST00042,9946.54,USD,2026-03-28,OPEN
FIN23858608,CUST00083,1082.78,EUR,2026-01-26,PENDING
FIN17275220,CUST00028,6203.28,INR,2025-12-12,OPEN
FIN81516787,CUST00057,5454.9,EUR,2025-06-18,CANCELLED
FIN89969828,CUST00039,3168.24,INR,2025-06-16,DELIVERED
FIN87355844,CUST00100,6878.3,EUR,2025-12-21,OPEN
FIN71559873,CUST00015,4507.6,AUD,2026-02-01,PENDING
FIN76965851,CUST00067,5692.53,USD,2025-12-14,OPEN
FIN45012969,CUST00063,294.3,AUD,2025-09-30,DELIVERED
FIN84670994,CUST00055,1326.88,EUR,2026-01-08,CANCELLED
FIN91763056,CUST00043,8761.76,INR,2025-08-14,CANCELLED
FIN74062223,CUST00096,8550.21,INR,2025-12-16,PENDING
FIN40626764,CUST00030,4486.47,GBP,2025-10-07,CANCELLED
FIN27035399,CUST00078,4099.45,GBP,2026-02-25,DELIVERED
FIN92588032,CUST00052,3790.65,AUD,2025-12-02,OPEN
FIN02199056,CUST00004,8485.57,EUR,2025-10-07,DELIVERED
FIN88242027,CUST00047,7311.97,EUR,2025-06-20,PENDING
FIN70920610,CUST00062,2773.41,INR,2025-09-11,PENDING
FIN21588669,CUST00023,3378.15,EUR,2025-08-12,DELIVERED
FIN74479063,CUST00012,1767.08,USD,2025-07-24,OPEN
FIN91098596,CUST00050,5847.27,USD,2025-12-20,CANCELLED
FIN51879221,CUST00013,3967.23,AUD,2025-06-01,CANCELLED
FIN50624504,CUST00100,3793.79,EUR,2025-09-20,PENDING
FIN10474860,CUST00058,600.61,AUD,2026-02-11,PENDING
FIN45430025,CUST00051,7860.83,INR,2025-12-27,DELIVERED
FIN12103106,CUST00008,5334.95,INR,2025-12-24,DELIVERED
FIN37834752,CUST00027,6417.19,AUD,2025-11-10,CANCELLED
FIN81832337,CUST00017,4153.02,INR,2025-12-31,DELIVERED
FIN50752615,CUST00020,409.9,INR,2026-04-13,PENDING
FIN35615677,CUST00098,8334.74,AUD,2026-01-09,PENDING
FIN31612287,CUST00073,6957.47,INR,2025-12-18,CANCELLED
FIN30008377,CUST00042,6446.68,AUD,2025-07-17,PENDING
FIN49646516,CUST00079,1220.43,AUD,2025-12-13,PENDING
FIN80391050,CUST00024,7139.4,AUD,2026-05-22,CANCELLED
FIN90350830,CUST00061,7728.47,EUR,2025-11-11,CANCELLED
FIN96974968,CUST00100,8254.83,AUD,2025-06-02,PENDING
FIN19963934,CUST00072,7186.4,AUD,2025-09-07,DELIVERED
FIN63869995,CUST00042,2322.08,AUD,2026-05-09,PENDING
FIN50885654,CUST00066,717.92,EUR,2025-09-23,PENDING
FIN07205634,CUST00001,8866.66,GBP,2026-01-21,PENDING
FIN77286387,CUST00057,9989.3,AUD,2026-01-08,DELIVERED
FIN78664977,CUST00084,4005.62,AUD,2026-05-09,CANCELLED
FIN14500189,CUST00063,838.01,GBP,2025-06-01,OPEN
FIN09416449,CUST00082,824.24,INR,2025-10-24,DELIVERED
FIN29355967,CUST00073,9513.83,GBP,2026-01-25,OPEN
FIN91457845,CUST00022,2537.53,EUR,2025-09-24,DELIVERED
FIN42856468,CUST00098,9740.41,INR,2025-05-26,DELIVERED
FIN31982212,CUST00044,6656.79,INR,2025-09-23,CANCELLED
FIN96475886,CUST00098,854.12,AUD,2026-04-30,OPEN
FIN29699192,CUST00089,5704.97,EUR,2025-12-23,PENDING
FIN38786492,CUST00086,6117.48,USD,2026-04-21,DELIVERED
FIN04832437,CUST00078,7456.14,USD,2025-11-24,CANCELLED
FIN87093546,CUST00067,4922.85,INR,2025-12-30,DELIVERED
FIN68269501,CUST00047,8008.36,USD,2025-06-01,OPEN
FIN01568368,CUST00044,2076.45,AUD,2025-12-02,PENDING
FIN26382070,CUST00054,9726.41,INR,2026-01-21,CANCELLED
FIN44068862,CUST00041,3947.24,INR,2025-08-23,DELIVERED
FIN93209589,CUST00047,2838.03,AUD,2025-11-22,OPEN
FIN64211774,CUST00023,9058.0,EUR,2025-09-28,OPEN
FIN36765983,CUST00093,909.65,USD,2025-08-02,DELIVERED
FIN87395745,CUST00028,9449.45,AUD,2025-10-28,DELIVERED
FIN53664933,CUST00063,1872.4,EUR,2026-02-09,PENDING
FIN90352592,CUST00022,4179.32,INR,2025-09-29,CANCELLED
FIN79830473,CUST00092,1023.91,GBP,2026-02-08,CANCELLED
FIN79967409,CUST00066,8997.21,GBP,2025-08-10,OPEN
FIN54372161,CUST00043,8587.61,USD,2026-05-10,PENDING
FIN42743785,CUST00022,9335.1,INR,2025-08-29,OPEN
FIN40534610,CUST00028,7147.79,AUD,2025-06-04,OPEN
FIN62442545,CUST00069,5556.53,EUR,2025-06-03,PENDING
FIN61573180,CUST00061,5446.7,EUR,2026-05-04,DELIVERED
FIN99045918,CUST00091,3261.28,AUD,2026-02-19,OPEN
FIN58788240,CUST00009,3724.83,AUD,2025-12-22,CANCELLED
FIN63281180,CUST00074,2293.69,AUD,2025-12-05,OPEN
FIN92662937,CUST00042,6642.87,EUR,2026-01-29,PENDING
FIN65338171,CUST00067,2463.83,USD,2025-12-22,CANCELLED
FIN99179593,CUST00022,2821.33,INR,2025-10-03,PENDING
FIN59671931,CUST00039,3161.42,AUD,2025-10-07,OPEN
FIN97293749,CUST00100,9983.22,USD,2026-01-27,DELIVERED
FIN88433553,CUST00040,1253.89,EUR,2025-09-11,CANCELLED
FIN83571531,CUST00098,1706.13,GBP,2026-03-08,DELIVERED
FIN43711518,CUST00053,8775.76,AUD,2026-04-07,DELIVERED
FIN68163287,CUST00051,2655.1,USD,2025-07-26,CANCELLED
FIN46532107,CUST00088,3390.13,GBP,2026-04-01,DELIVERED
FIN75872003,CUST00085,3278.44,EUR,2025-07-08,CANCELLED
FIN53886114,CUST00099,8016.46,GBP,2025-09-11,OPEN
FIN17162906,CUST00022,4702.71,GBP,2026-05-04,CANCELLED
FIN03501204,CUST00003,1502.69,GBP,2025-08-30,CANCELLED
FIN48631130,CUST00083,5360.5,INR,2026-05-18,PENDING
FIN80099622,CUST00068,7155.76,EUR,2025-10-05,OPEN
FIN80134308,CUST00040,6730.56,USD,2026-02-27,DELIVERED
FIN37109622,CUST00084,9133.57,AUD,2025-05-31,DELIVERED
FIN16304707,CUST00090,4554.54,EUR,2026-01-05,OPEN
FIN89123390,CUST00096,7896.0,INR,2026-03-13,OPEN
FIN43130869,CUST00001,2788.88,EUR,2026-03-22,DELIVERED
FIN39118863,CUST00001,3744.45,EUR,2025-08-11,CANCELLED
FIN29355931,CUST00087,8192.12,USD,2025-10-05,CANCELLED
FIN99368358,CUST00069,8708.32,INR,2025-06-23,DELIVERED
FIN61769507,CUST00063,5254.35,EUR,2025-11-29,OPEN
FIN80044247,CUST00038,9831.15,EUR,2025-12-06,DELIVERED
FIN51564688,CUST00027,7579.4,AUD,2026-04-01,OPEN
FIN46126923,CUST00008,6800.33,GBP,2025-10-08,OPEN
FIN67458100,CUST00005,9551.04,USD,2025-07-19,PENDING
FIN74943887,CUST00067,9788.61,EUR,2025-12-19,PENDING
FIN12540561,CUST00079,2556.41,GBP,2025-08-07,PENDING
FIN42707509,CUST00060,7031.85,GBP,2025-06-20,DELIVERED
FIN46635709,CUST00042,9243.59,INR,2025-09-03,DELIVERED
FIN02316120,CUST00075,1064.25,GBP,2025-12-31,PENDING
FIN39283640,CUST00052,262.31,GBP,2025-06-17,CANCELLED
FIN33748997,CUST00033,7215.96,AUD,2026-05-19,PENDING
FIN35567034,CUST00008,1718.86,EUR,2026-03-08,CANCELLED
FIN88311671,CUST00028,6875.45,AUD,2025-07-16,CANCELLED
FIN10659544,CUST00017,5128.98,AUD,2025-09-16,CANCELLED
FIN83107284,CUST00082,809.77,EUR,2025-09-27,CANCELLED
FIN65035457,CUST00032,2220.4,USD,2025-12-01,OPEN
FIN58845893,CUST00090,2199.5,USD,2025-05-31,CANCELLED
FIN35168575,CUST00038,7934.15,GBP,2026-03-16,CANCELLED
FIN32481536,CUST00100,1015.31,USD,2025-06-08,OPEN
FIN31409945,CUST00036,5852.51,INR,2025-09-08,PENDING
FIN11005320,CUST00055,1292.83,GBP,2025-10-01,DELIVERED
FIN67367927,CUST00057,8738.11,GBP,2025-07-17,PENDING
FIN14540392,CUST00043,3126.74,INR,2025-12-28,DELIVERED
FIN00061939,CUST00069,9833.33,AUD,2026-05-11,OPEN
FIN21049060,CUST00005,5061.43,AUD,2025-11-05,PENDING
FIN20277790,CUST00056,6045.18,AUD,2025-05-25,CANCELLED
FIN59744034,CUST00024,2697.77,AUD,2025-08-21,CANCELLED
FIN04161801,CUST00100,8070.49,EUR,2025-10-16,OPEN
FIN96005597,CUST00026,7055.31,AUD,2025-08-09,DELIVERED
FIN90983287,CUST00008,1602.47,AUD,2025-07-19,CANCELLED
FIN29850401,CUST00048,7803.85,INR,2025-07-24,PENDING
FIN84340557,CUST00092,3097.53,AUD,2026-02-28,DELIVERED
FIN25079973,CUST00070,8529.26,INR,2025-06-29,PENDING
FIN78845746,CUST00081,2238.64,EUR,2025-08-15,OPEN
FIN85304550,CUST00074,9311.48,AUD,2025-06-07,DELIVERED
FIN70016899,CUST00001,2878.3,GBP,2026-03-03,DELIVERED
FIN45920432,CUST00023,5796.65,GBP,2026-02-02,CANCELLED
FIN44107118,CUST00069,3914.53,INR,2025-10-09,DELIVERED
FIN91861884,CUST00038,4730.25,INR,2026-03-11,PENDING
FIN62314124,CUST00053,2565.46,AUD,2026-01-04,DELIVERED
FIN69704602,CUST00059,6202.05,INR,2026-05-05,DELIVERED
FIN63632674,CUST00024,935.14,USD,2025-06-06,DELIVERED
FIN08655708,CUST00007,6540.04,EUR,2026-02-01,PENDING
FIN81783055,CUST00051,5557.36,USD,2025-08-07,DELIVERED
FIN76190983,CUST00055,8161.35,EUR,2026-05-02,CANCELLED
FIN29874322,CUST00018,5303.97,USD,2025-12-18,OPEN
FIN83341376,CUST00087,8152.23,EUR,2025-07-19,CANCELLED
FIN34841263,CUST00035,3057.74,EUR,2025-09-24,CANCELLED
FIN68833774,CUST00036,1146.1,GBP,2025-07-23,DELIVERED
FIN03707209,CUST00051,7882.97,USD,2026-04-17,OPEN
FIN55478312,CUST00063,5513.77,USD,2025-06-27,PENDING
FIN13081473,CUST00021,1908.72,USD,2025-07-09,OPEN
FIN89629570,CUST00087,6396.92,EUR,2025-09-10,PENDING
FIN47070031,CUST00015,4164.92,EUR,2025-11-16,PENDING
FIN36745817,CUST00043,1622.23,USD,2025-09-14,CANCELLED
FIN17141689,CUST00055,5804.5,GBP,2026-04-23,OPEN
FIN86615439,CUST00068,4452.69,AUD,2025-11-14,CANCELLED
FIN25774959,CUST00057,3550.93,AUD,2026-05-19,DELIVERED
FIN46190100,CUST00089,9134.42,INR,2025-11-18,DELIVERED
FIN72596090,CUST00052,9596.61,EUR,2026-03-27,OPEN
FIN51726090,CUST00032,6240.6,GBP,2025-07-26,DELIVERED
FIN65954578,CUST00059,2769.54,USD,2026-03-02,OPEN
FIN45470476,CUST00061,3776.79,GBP,2026-04-28,DELIVERED
FIN83231631,CUST00070,111.65,AUD,2025-07-15,PENDING
FIN22851519,CUST00002,875.28,AUD,2025-06-01,PENDING
FIN34069451,CUST00087,5929.68,GBP,2025-10-10,PENDING
FIN50074616,CUST00079,9941.86,EUR,2025-12-14,DELIVERED
FIN46848976,CUST00043,1175.96,USD,2026-03-28,OPEN
FIN78926995,CUST00095,5387.36,INR,2026-04-09,DELIVERED
FIN76944260,CUST00051,859.88,EUR,2026-02-08,PENDING
FIN67126104,CUST00084,1969.63,EUR,2026-04-19,DELIVERED
FIN76187771,CUST00100,5749.1,EUR,2026-05-05,PENDING
FIN14397171,CUST00012,4138.38,USD,2025-06-03,OPEN
FIN48301554,CUST00030,3500.05,USD,2025-06-03,DELIVERED
FIN05052175,CUST00052,2281.61,AUD,2026-03-20,CANCELLED
FIN41831359,CUST00042,4090.15,EUR,2026-05-03,CANCELLED
FIN50689230,CUST00044,1386.26,GBP,2025-08-06,PENDING
FIN14842628,CUST00014,528.81,GBP,2025-09-21,PENDING
FIN59271235,CUST00066,2922.01,AUD,2025-07-07,PENDING
FIN77117147,CUST00018,369.65,INR,2026-02-23,CANCELLED
FIN22181262,CUST00027,8099.46,AUD,2026-01-17,PENDING
FIN82505763,CUST00004,8693.36,EUR,2026-05-06,OPEN
FIN90204248,CUST00040,6609.12,USD,2025-05-28,OPEN
FIN23240404,CUST00066,5591.21,GBP,2026-05-19,PENDING
FIN46328143,CUST00074,9350.96,AUD,2026-03-30,OPEN
FIN63874612,CUST00012,8028.39,GBP,2026-02-15,PENDING
